"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
41,47,1.55905920375862,0.0263717540881087,1.50779531290549,1.51593660950356,1.60268899917306,1.55891051203077,1.60268899917306,1.60268899917306,1.61116809439869
42,48,1.62163512072586,0.0257111056048886,1.57162949185827,1.57957713586803,1.66415661012009,1.6214992391303,1.66415661012009,1.66415661012009,1.67241295105611
43,49,1.42795959781442,0.0229659806721463,1.38329796160748,1.39039507241364,1.46594409443082,1.42783647850872,1.46594409443082,1.46594409443082,1.4733209086079
44,50,1.3087965762514,0.0208986559130437,1.26815294482206,1.27461210612036,1.34336047501691,1.30868534245918,1.34336047501691,1.34336047501691,1.35007233812338
45,51,1.25456441038542,0.0195977848807397,1.21644423710716,1.22250390428583,1.28697300268699,1.2544623649757,1.28697300268699,1.28697300268699,1.29326449753393
46,52,1.22369470558123,0.0187397797816168,1.18723797987713,1.19303452498418,1.25468118980986,1.22359904597384,1.25468118980986,1.25468118980986,1.2606950553441
47,53,1.11011399822116,0.0174029845283962,1.07626391065229,1.08164457656859,1.1388936226265,1.11002305877417,1.1388936226265,1.1388936226265,1.14448088557214
48,54,1.22665905154622,0.0179117263869819,1.19180109158712,1.19734632477715,1.25626916228038,1.22657187005715,1.25626916228038,1.25626916228038,1.26201245539217
49,55,1.18291868165868,0.0173118289994528,1.14922872097702,1.15458801928963,1.21153741368551,1.18283423076506,1.21153741368551,1.21153741368551,1.21708856851409
50,56,1.20088906306849,0.0171433171874473,1.16752117269512,1.17283063200708,1.22922575592059,1.20080748745817,1.22922575592059,1.22922575592059,1.23472053972259
51,57,1.40261040186433,0.0181804904157468,1.36720101800262,1.37284072688498,1.43264801941275,1.40253185143667,1.43264801941275,1.43264801941275,1.4384661803891
52,58,1.40326439439888,0.0178099890190182,1.36857204388086,1.37409863891056,1.43268716315566,1.40318904801794,1.43268716315566,1.43268716315566,1.43838493132247
53,59,1.45571640752279,0.0175963169726234,1.42143015908954,1.42689446808191,1.48478019071724,1.45564550825324,1.48478019071724,1.48478019071724,1.49040556992157
54,60,1.47629472692292,0.0170729818330596,1.44301969868767,1.44832486827956,1.5044890843937,1.47622891251313,1.5044890843937,1.5044890843937,1.50994377239629
55,61,1.37663338396544,0.0158348828016891,1.34577045945454,1.35069128058317,1.40278258722061,1.37657267025856,1.40278258722061,1.40278258722061,1.40784133889518
56,62,1.33016486758013,0.0149343644665575,1.30105318713584,1.30569571835683,1.35482466670632,1.33010897636912,1.35482466670632,1.35482466670632,1.35959417266735
57,63,1.43160312904833,0.0149271169816943,1.40249421288676,1.40713900967627,1.45624421783344,1.43155124842553,1.45624421783344,1.45624421783344,1.46100687811124
58,64,1.29093313913684,0.0137139443026284,1.26419255517096,1.26845883649082,1.31357309119261,1.29088457710451,1.31357309119261,1.31357309119261,1.31794969673928
59,65,1.21029834911596,0.0128269751747803,1.18528694503122,1.18927742012746,1.23147384801648,1.21025303516587,1.23147384801648,1.23147384801648,1.23556726828144
60,66,1.1713963009306,0.0122359477451228,1.14753557010183,1.15134288236523,1.19159504450097,1.17135369723078,1.19159504450097,1.19159504450097,1.19549914474276
61,67,1.16536821039011,0.0119244606407767,1.14211247797775,1.14582383010697,1.18505132482817,1.16532753887301,1.18505132482817,1.18505132482817,1.18885507537863
62,68,1.18165976984522,0.011794209947748,1.15865524192829,1.16232717577339,1.20112621270692,1.18162053052817,1.20112621270692,1.20112621270692,1.20488729128844
63,69,1.19427282675713,0.0116665818084673,1.17151488261681,1.17514801804762,1.21352721994937,1.19423483757009,1.21352721994937,1.21352721994937,1.21724666005821
64,70,1.19894068493698,0.0114927347460531,1.17651986406262,1.18009965658367,1.21790697503047,1.19890396301115,1.21790697503047,1.21790697503047,1.22157019324907
65,71,1.23801122902323,0.0114660163930422,1.21563900044093,1.21921187597944,1.25693132731517,1.23797583115808,1.25693132731517,1.25693132731517,1.26058462053976
66,72,1.29809414075436,0.0115141906024269,1.27562363145312,1.27921322344839,1.31709118428879,1.29806009700696,1.31709118428879,1.31709118428879,1.32075811767585
67,73,1.30727900539348,0.0113032974542391,1.28521766256012,1.28874246389235,1.32592667190145,1.3072464278114,1.32592667190145,1.32592667190145,1.32952548376779
68,74,1.3096394173387,0.011021730023827,1.2881252125231,1.29156317153513,1.32782113040301,1.30960849838976,1.32782113040301,1.32782113040301,1.33132933183742
69,75,1.35618071722696,0.0108990842124957,1.33490198800971,1.33830325407105,1.37415777421986,1.35615152013926,1.37415777421986,1.37415777421986,1.37762537095351
70,76,1.36103465846245,0.0106004599322678,1.34033644785715,1.34364551721062,1.37851767479825,1.36100713789293,1.37851767479825,1.37851767479825,1.38188926607788
71,77,1.33145555062979,0.010158456674078,1.31161885171966,1.31479055483505,1.34820867138917,1.3314297157741,1.34820867138917,1.34820867138917,1.35143906678905
72,78,1.27789866926832,0.00962978830330561,1.2590934564823,1.26210043941187,1.29377940925229,1.27787448046709,1.29377940925229,1.29377940925229,1.29684134492089
73,79,1.20079518286633,0.00904542581993326,1.18313109909818,1.18595561940649,1.21571222091734,1.200772470291,1.21571222091734,1.21571222091734,1.21858834023691
74,80,1.13845006129282,0.00856874118635797,1.12171680618733,1.12439249724612,1.15258095678836,1.13842856332773,1.15258095678836,1.15258095678836,1.1553054874759
75,81,1.10596865884392,0.00826524358800849,1.08982766264291,1.09240874982375,1.11959880045872,1.10594806934381,1.11959880045872,1.11959880045872,1.12222666339572
76,82,1.05640984812444,0.00795237769118018,1.04088025133693,1.04336347237713,1.0695242901108,1.05638989371669,1.0695242901108,1.0695242901108,1.07205284408654
77,83,1.05230383741276,0.00784798904109763,1.03697757287256,1.03942840465394,1.06524581983226,1.05228432760745,1.06524581983226,1.06524581983226,1.06774097449178
78,84,1.00472581463533,0.00761134078948983,0.989862548557227,0.992239139293159,1.01727805088497,1.00470659469467,1.01727805088497,1.01727805088497,1.019698305974
79,85,0.990156513049723,0.00751781543235861,0.975476002789837,0.977823342474023,1.00255458436505,0.990137486644956,1.00255458436505,1.00255458436505,1.00494514872213
80,86,0.996947025335818,0.00752696939503037,0.982248335500945,0.984598654490433,1.00936001193421,0.996928082478123,1.00936001193421,1.00936001193421,1.0117533657933
81,87,1.01840909487222,0.00760918435271609,1.0035492889743,1.00592550543852,1.03095732770169,1.01839014391062,1.03095732770169,1.03095732770169,1.03337659744819
82,88,1.03865162864104,0.00768886561270741,1.02363571187382,1.02603701181093,1.05133096343978,1.03863265581743,1.05133096343978,1.05133096343978,1.05377536632757
83,89,1.02271839754553,0.00762246940374488,1.00783251370007,1.01021293217567,1.03528845890211,1.02269946048241,1.03528845890211,1.03528845890211,1.03771189908551
84,90,1.00553371090788,0.00753658210801921,0.990815856284862,0.993169333421524,1.01796231610538,1.00551488180907,1.01796231610538,1.01796231610538,1.02035856967267
85,91,1.02889572679146,0.00760145582786638,1.01405040978462,1.01642445333135,1.04143085488807,1.02887700706367,1.04143085488807,1.04143085488807,1.04384742639624
86,92,1.03626214206977,0.00761545833227802,1.02138919667323,1.02376772576855,1.04882019288356,1.0362434868738,1.04882019288356,1.04882019288356,1.0512411033362
87,93,1.03040527315637,0.00757814841162236,1.0156052338504,1.01797209402578,1.04290182297168,1.0303866953046,1.04290182297168,1.04290182297168,1.04531088879169
88,94,1.06234723335259,0.00767042712016827,1.04736599672071,1.0497620676135,1.07499537042809,1.06232877257423,1.07499537042809,1.07499537042809,1.07743338099834
89,95,1.09164252784004,0.00774701798764502,1.07651079104389,1.07893114944601,1.10441641760585,1.09162420190548,1.10441641760585,1.10441641760585,1.10687840934668
90,96,1.13754136039618,0.00786609211033774,1.12217568708446,1.12463378774868,1.15051078041787,1.13752322911999,1.15051078041787,1.15051078041787,1.15301007219494
91,97,1.15559826966048,0.00786266829676078,1.14023845566115,1.14269581661152,1.16856155069984,1.15558043722835,1.16856155069984,1.16856155069984,1.17105942384367
92,98,1.14811646276182,0.00774341591261023,1.13298917201469,1.13540943677488,1.16088287004731,1.14809905444413,1.16088287004731,1.16088287004731,1.16334268348773
93,99,1.12677429598363,0.00755952005915401,1.11200600381277,1.11436889190353,1.13923736635075,1.12675739044147,1.13923736635075,1.13923736635075,1.14163866090361
94,100,1.11537898051254,0.00740972493242911,1.10090286576765,1.10321911654739,1.12759481407857,1.11536257237356,1.12759481407857,1.12759481407857,1.12994834130789
95,101,1.08822055347137,0.00722086514846516,1.07411335416477,1.07637058930782,1.1001249970004,1.08820458221222,1.1001249970004,1.1001249970004,1.1024185160779
96,102,1.06964335179852,0.00707504786054022,1.0558208899866,1.05803259921656,1.08130731401432,1.06962775277592,1.08130731401432,1.08130731401432,1.08355446152212
97,103,1.06432379234563,0.00698898378238366,1.05066915600715,1.05285408740078,1.07584567978211,1.06430849444167,1.07584567978211,1.07584567978211,1.07806536536507
98,104,1.06809904945941,0.00694714181516065,1.0545257498622,1.05669776436828,1.07955171185757,1.06808398760461,1.07955171185757,1.07955171185757,1.08175794429125
99,105,1.07523560656319,0.00692361630884899,1.06170784343887,1.06387267311314,1.08664923125184,1.07522074583725,1.08664923125184,1.08664923125184,1.08884782192486
100,106,1.10202430096997,0.00696243737957431,1.08841988522758,1.09059717272439,1.11350144441737,1.10200963843196,1.11350144441737,1.11350144441737,1.11571204266624
101,107,1.1078977520791,0.00692896374425994,1.09435832387261,1.09652531052705,1.11931946646128,1.10788330717592,1.11931946646128,1.11931946646128,1.12151926944011
102,108,1.11251436379225,0.00687983597837736,1.09907047499603,1.10122227976566,1.12385482284064,1.11250018209196,1.12385482284064,1.12385482284064,1.12603884598427
103,109,1.13460327396834,0.00687474232186615,1.12116852372055,1.12331906016491,1.14593485080247,1.13458938894489,1.14593485080247,1.14593485080247,1.14811693162417
104,110,1.15787143945307,0.00686647313583671,1.14445200884257,1.14660029342371,1.16918888514362,1.15785786616866,1.16918888514362,1.16918888514362,1.17136800588669
105,111,1.2277167122874,0.00698096126772438,1.2140719152824,1.21625666407435,1.23922189442097,1.22770348075324,1.23922189442097,1.23922189442097,1.24143670298056
106,112,1.25342787442374,0.00694721133123615,1.23984809754621,1.24202266138724,1.26487686914607,1.25341503931282,1.26487686914607,1.26487686914607,1.26708059215127
