Date,T,U
05.06.2021 02:30,28.4,73
04.06.2021 23:30,29,68
04.06.2021 20:30,29.2,75
04.06.2021 17:30,32.4,68
04.06.2021 14:30,34,60
04.06.2021 11:30,33.6,60
04.06.2021 08:30,30.4,68
04.06.2021 05:30,26.4,80
04.06.2021 02:30,27.2,77
03.06.2021 23:30,28.6,74
03.06.2021 20:30,30.4,76
03.06.2021 17:30,32.8,63
03.06.2021 14:30,33.4,61
03.06.2021 11:30,33.2,60
03.06.2021 08:30,28.6,78
03.06.2021 05:30,26.4,87
03.06.2021 02:30,26.6,86
02.06.2021 23:30,26.8,86
02.06.2021 20:30,27.6,81
02.06.2021 17:30,33,68
02.06.2021 14:30,32,71
02.06.2021 11:30,30.2,80
02.06.2021 08:30,29,83
02.06.2021 05:30,26.4,94
02.06.2021 02:30,26.4,95
01.06.2021 23:30,26.2,94
01.06.2021 20:30,26.4,94
01.06.2021 17:30,32.4,70
01.06.2021 14:30,33,67
01.06.2021 11:30,32,69
01.06.2021 08:30,30,77
01.06.2021 05:30,28.2,79
01.06.2021 02:30,28.2,79
31.05.2021 23:30,28.6,80
31.05.2021 20:30,30.6,74
31.05.2021 17:30,30.8,73
31.05.2021 14:30,32,75
31.05.2021 11:30,26.2,92
31.05.2021 08:30,30.4,74
31.05.2021 05:30,28.2,79
31.05.2021 02:30,28.8,79
30.05.2021 23:30,29.6,77
30.05.2021 20:30,30.8,72
30.05.2021 17:30,33.2,61
30.05.2021 14:30,33.4,62
30.05.2021 11:30,33.4,61
30.05.2021 08:30,31.4,70
30.05.2021 05:30,29.8,77
30.05.2021 02:30,30,75
29.05.2021 23:30,30.6,74
29.05.2021 20:30,31,71
29.05.2021 17:30,33,63
29.05.2021 14:30,34,62
29.05.2021 11:30,33.4,57
29.05.2021 08:30,31.4,71
29.05.2021 05:30,29.8,78
29.05.2021 02:30,30,78
28.05.2021 23:30,30.4,77
28.05.2021 20:30,30.6,76
28.05.2021 17:30,32.6,65
28.05.2021 14:30,33.6,65
28.05.2021 11:30,33,65
28.05.2021 08:30,30.6,76
28.05.2021 05:30,29.8,77
28.05.2021 02:30,30,75
27.05.2021 23:30,30.4,73
27.05.2021 20:30,30.6,74
27.05.2021 17:30,32.8,63
27.05.2021 14:30,33.6,64
27.05.2021 11:30,32.8,65
27.05.2021 08:30,29.6,81
27.05.2021 05:30,30,72
27.05.2021 02:30,29.8,72
26.05.2021 23:30,30,70
26.05.2021 20:30,30.4,68
26.05.2021 17:30,32.2,63
26.05.2021 14:30,33,60
26.05.2021 11:30,32.2,63
26.05.2021 08:30,30.4,69
26.05.2021 05:30,29,75
26.05.2021 02:30,29.4,75
25.05.2021 23:30,29.8,75
25.05.2021 20:30,30.4,74
25.05.2021 17:30,31.8,68
25.05.2021 14:30,33.2,61
25.05.2021 11:30,32.2,66
25.05.2021 08:30,30.4,76
25.05.2021 05:30,29,80
25.05.2021 02:30,29.8,75
24.05.2021 23:30,30,75
24.05.2021 20:30,30.2,74
24.05.2021 17:30,32.4,20
24.05.2021 14:30,33.2,58
24.05.2021 08:30,30.4,74
24.05.2021 05:30,29,79
24.05.2021 02:30,29.4,78
23.05.2021 23:30,29.8,75
23.05.2021 20:30,30.4,72
23.05.2021 17:30,33,55
23.05.2021 14:30,33.4,57
23.05.2021 11:30,32.6,59
23.05.2021 08:30,30.2,76
23.05.2021 05:30,28.8,83
23.05.2021 02:30,29.6,75
22.05.2021 23:30,30,73
22.05.2021 20:30,30.2,74
22.05.2021 17:30,32,63
22.05.2021 14:30,33.2,61
22.05.2021 11:30,33.4,59
22.05.2021 08:30,30.2,76
22.05.2021 05:30,29,79
22.05.2021 02:30,29.2,79
21.05.2021 23:30,29.8,74
21.05.2021 20:30,30,74
21.05.2021 17:30,32,64
21.05.2021 14:30,33,61
21.05.2021 11:30,32.6,61
21.05.2021 08:30,30.4,77
21.05.2021 05:30,28,89
21.05.2021 02:30,28.6,83
20.05.2021 23:30,29.6,82
20.05.2021 20:30,30,74
20.05.2021 17:30,32.4,67
20.05.2021 14:30,33,65
20.05.2021 11:30,32.6,63
20.05.2021 08:30,29.2,80
20.05.2021 05:30,26.6,92
20.05.2021 02:30,27.6,87
19.05.2021 23:30,28,87
19.05.2021 20:30,29.2,82
19.05.2021 17:30,31.8,70
19.05.2021 14:30,31.8,68
19.05.2021 11:30,27.8,86
19.05.2021 08:30,25.4,90
19.05.2021 05:30,28.2,85
19.05.2021 02:30,28.2,85
18.05.2021 23:30,29.2,86
18.05.2021 20:30,29.8,81
18.05.2021 17:30,31,75
18.05.2021 14:30,31.4,72
18.05.2021 11:30,29.6,87
18.05.2021 08:30,29.2,80
18.05.2021 05:30,28.8,82
18.05.2021 02:30,28.4,88
17.05.2021 23:30,26.8,92
17.05.2021 20:30,26.8,86
17.05.2021 17:30,26.2,87
17.05.2021 14:30,25.4,96
17.05.2021 11:30,26.2,89
17.05.2021 08:30,26.2,87
17.05.2021 05:30,26.2,86
17.05.2021 02:30,30.6,58
16.05.2021 23:30,32.2,51
16.05.2021 20:30,33.8,46
16.05.2021 17:30,35.8,43
16.05.2021 14:30,35.8,47
16.05.2021 11:30,35.2,49
16.05.2021 08:30,30,67
16.05.2021 05:30,27,83
16.05.2021 02:30,28.4,88
15.05.2021 23:30,32.2,51
15.05.2021 20:30,33.4,64
15.05.2021 17:30,34.2,62
15.05.2021 14:30,37.2,37
15.05.2021 11:30,34.4,44
15.05.2021 08:30,30.4,67
15.05.2021 05:30,29.4,79
15.05.2021 02:30,29.8,75
14.05.2021 23:30,30.2,73
14.05.2021 20:30,30.4,70
14.05.2021 17:30,32.4,59
14.05.2021 14:30,34.2,54
14.05.2021 11:30,33.4,55
14.05.2021 08:30,30,67
14.05.2021 05:30,27.6,78
14.05.2021 02:30,28.8,78
13.05.2021 23:30,29.6,70
13.05.2021 20:30,30.2,64
13.05.2021 17:30,33,57
13.05.2021 14:30,33.4,54
13.05.2021 11:30,33.4,52
13.05.2021 08:30,30.6,65
13.05.2021 05:30,29.4,68
13.05.2021 02:30,29,72
12.05.2021 23:30,29.6,64
12.05.2021 20:30,30,66
12.05.2021 17:30,32.8,58
12.05.2021 14:30,33.4,54
12.05.2021 11:30,33.8,50
12.05.2021 08:30,30.4,67
12.05.2021 05:30,28.6,75
12.05.2021 02:30,29.2,72
11.05.2021 23:30,29.6,72
11.05.2021 20:30,30.2,69
11.05.2021 17:30,32.8,57
11.05.2021 14:30,33.4,55
11.05.2021 11:30,33,52
11.05.2021 08:30,30,70
