Date,State,Confirmed,New Cases,T,H
01/09/2020,Kerala,75385,1530,29.0,77.0
02/09/2020,Kerala,76525,1140,27.67,86.0
03/09/2020,Kerala,78072,1547,30.33,73.0
04/09/2020,Kerala,79625,1553,29.33,81.0
05/09/2020,Kerala,82104,2479,29.33,81.0
06/09/2020,Kerala,84759,2655,26.0,94.0
07/09/2020,Kerala,87841,3082,28.0,79.0
08/09/2020,Kerala,89489,1648,28.33,86.0
09/09/2020,Kerala,92515,3026,27.0,89.0
10/09/2020,Kerala,95917,3402,27.67,89.0
11/09/2020,Kerala,99266,3349,29.0,83.0
12/09/2020,Kerala,102254,2988,27.0,87.0
13/09/2020,Kerala,105139,2885,27.0,89.0
14/09/2020,Kerala,108278,3139,28.33,84.0
15/09/2020,Kerala,110818,2540,28.33,86.0
16/09/2020,Kerala,114033,3215,28.67,86.0
17/09/2020,Kerala,117863,3830,29.0,84.0
18/09/2020,Kerala,122214,4351,27.33,91.0
19/09/2020,Kerala,126381,4167,26.67,91.0
20/09/2020,Kerala,131005,4624,26.33,94.0
21/09/2020,Kerala,135721,4716,27.0,94.0
22/09/2020,Kerala,138631,2910,26.33,96.0
23/09/2020,Kerala,142756,4125,28.0,87.0
24/09/2020,Kerala,148132,5376,28.0,86.0
25/09/2020,Kerala,154456,6324,27.67,91.0
26/09/2020,Kerala,160933,6477,28.33,89.0
27/09/2020,Kerala,167939,7006,28.67,89.0
28/09/2020,Kerala,175384,7445,28.67,89.0
29/09/2020,Kerala,179922,4538,28.0,91.0
30/09/2020,Kerala,187276,7354,26.33,92.0
01/10/2020,Kerala,196106,8830,28.33,87.0
02/10/2020,Kerala,204241,8135,28.67,83.0
03/10/2020,Kerala,213499,9258,29.0,86.0
04/10/2020,Kerala,221333,7834,28.67,83.0
05/10/2020,Kerala,229886,8553,28.33,82.0
06/10/2020,Kerala,234928,5042,29.0,81.0
07/10/2020,Kerala,242799,7871,28.33,87.0
08/10/2020,Kerala,253405,10606,29.0,89.0
09/10/2020,Kerala,258850,5445,27.0,87.0
10/10/2020,Kerala,268100,9250,28.33,86.0
11/10/2020,Kerala,279855,11755,27.33,87.0
12/10/2020,Kerala,289202,9347,27.67,96.0
13/10/2020,Kerala,295132,5930,27.33,94.0
14/10/2020,Kerala,303896,8764,27.0,94.0
15/10/2020,Kerala,310140,6244,27.67,94.0
16/10/2020,Kerala,317929,7789,28.33,87.0
17/10/2020,Kerala,325212,7283,28.67,84.0
18/10/2020,Kerala,334228,9016,29.0,79.0
19/10/2020,Kerala,341859,7631,29.0,81.0
20/10/2020,Kerala,346881,5022,27.0,93.0
21/10/2020,Kerala,353472,6591,28.33,84.0
22/10/2020,Kerala,361841,8369,28.0,81.0
23/10/2020,Kerala,369323,7482,19.67,48.0
24/10/2020,Kerala,377834,8511,29.0,73.0
25/10/2020,Kerala,386087,8253,20.0,50.0
26/10/2020,Kerala,392930,6843,29.67,81.0
27/10/2020,Kerala,397217,4287,9.67,26.0
28/10/2020,Kerala,402674,5457,28.0,79.0
29/10/2020,Kerala,411464,8790,9.67,23.0
30/10/2020,Kerala,418484,7020,19.33,58.0
31/10/2020,Kerala,425122,6638,29.0,81.0
01/11/2020,Kerala,433105,7983,29.33,75.0
02/11/2020,Kerala,440130,7025,29.67,75.0
03/11/2020,Kerala,444268,4138,30.0,75.0
04/11/2020,Kerala,451130,6862,29.67,85.0
05/11/2020,Kerala,459646,8516,29.33,82.0
06/11/2020,Kerala,466466,6820,29.33,74.0
07/11/2020,Kerala,473468,7002,30.33,73.0
08/11/2020,Kerala,480669,7201,28.33,89.0
09/11/2020,Kerala,486109,5440,30.0,73.0
10/11/2020,Kerala,489702,3593,30.0,80.0
11/11/2020,Kerala,495712,6010,19.67,50.0
12/11/2020,Kerala,502719,7007,28.33,87.0
13/11/2020,Kerala,508256,5537,18.33,61.0
14/11/2020,Kerala,514060,5804,29.67,81.0
15/11/2020,Kerala,520417,6357,29.67,83.0
16/11/2020,Kerala,524998,4581,27.67,89.0
17/11/2020,Kerala,527708,2710,27.0,86.0
18/11/2020,Kerala,533500,5792,28.67,81.0
19/11/2020,Kerala,539919,6419,29.33,75.0
20/11/2020,Kerala,545641,5722,21.0,43.0
21/11/2020,Kerala,551669,6028,29.33,71.0
22/11/2020,Kerala,557441,5772,29.67,70.0
23/11/2020,Kerala,562695,5254,29.33,73.0
24/11/2020,Kerala,566452,3757,29.0,76.0
25/11/2020,Kerala,571872,5420,30.33,72.0
26/11/2020,Kerala,578363,6491,30.0,73.0
27/11/2020,Kerala,583741,5378,20.33,48.0
28/11/2020,Kerala,587707,3966,29.33,75.0
29/11/2020,Kerala,593957,6250,30.33,69.0
30/11/2020,Kerala,599600,5643,30.67,68.0
01/12/2020,Kerala,602982,3382,30.0,64.0
02/12/2020,Kerala,608357,5375,29.0,69.0
03/12/2020,Kerala,614673,6316,28.33,71.0
04/12/2020,Kerala,620049,5376,28.67,81.0
05/12/2020,Kerala,625767,5718,27.67,84.0
06/12/2020,Kerala,631615,5848,28.33,79.0
