T,H,CLE,Confirmed,DI,GA,MT,New Cases,TJ,State,Date,ON,Rt
32.33,3,1,3,0,3,2,4,2,Tamil Nadu,21/07/2020,0,1.11095103819021
32.33,3,1,3,0,3,2,4,2,Tamil Nadu,22/07/2020,0,1.10159177622107
31.8,3,1,3,0,3,2,5,2,Tamil Nadu,23/07/2020,0,1.12121482048608
30.93,3,1,3,0,3,2,5,2,Tamil Nadu,24/07/2020,0,1.15817432022812
32.87,3,1,3,0,3,2,5,2,Tamil Nadu,25/07/2020,0,1.2009679946666298
32.0,3,1,3,0,3,2,5,2,Tamil Nadu,26/07/2020,0,1.23231645636641
32.87,2,1,3,0,3,2,5,2,Tamil Nadu,27/07/2020,0,1.2464177293922098
33.4,2,1,3,0,3,2,5,2,Tamil Nadu,28/07/2020,0,1.24980951084438
25.67,1,1,3,0,3,2,5,2,Tamil Nadu,29/07/2020,0,1.24608944993397
32.2,3,1,3,0,3,2,5,2,Tamil Nadu,30/07/2020,0,1.2025717687113602
32.47,3,1,3,0,3,2,5,2,Tamil Nadu,31/07/2020,0,1.13297694704758
30.93,3,1,3,0,3,2,5,2,Tamil Nadu,01/08/2020,0,1.06629839943639
31.8,3,1,4,0,3,2,5,2,Tamil Nadu,02/08/2020,0,1.00927605251815
28.73,3,1,4,0,3,2,5,2,Tamil Nadu,03/08/2020,0,0.9668739906422328
30.2,3,1,4,0,3,2,5,2,Tamil Nadu,04/08/2020,0,0.930824845742288
30.4,3,1,4,0,3,2,5,2,Tamil Nadu,05/08/2020,0,0.8925578714294059
32.6,3,1,4,0,3,2,5,2,Tamil Nadu,06/08/2020,0,0.8757328412644909
32.6,3,1,4,0,3,2,5,2,Tamil Nadu,07/08/2020,0,0.8892906272016701
32.67,3,1,4,0,3,2,5,2,Tamil Nadu,08/08/2020,0,0.911949609621208
28.07,1,1,4,0,3,2,5,2,Tamil Nadu,09/08/2020,0,0.935468511971457
30.8,3,2,4,0,3,2,5,2,Tamil Nadu,10/08/2020,0,0.958621123748838
30.8,3,2,4,0,3,2,5,2,Tamil Nadu,11/08/2020,0,0.981633212713404
30.47,3,2,4,0,3,2,5,2,Tamil Nadu,12/08/2020,0,1.01140008905857
30.93,3,2,4,0,3,2,5,2,Tamil Nadu,13/08/2020,0,1.03439577288682
29.47,3,2,4,0,3,2,5,2,Tamil Nadu,14/08/2020,0,1.03799362851419
29.8,3,2,4,0,3,2,5,2,Tamil Nadu,15/08/2020,0,1.03286689505388
30.53,3,2,4,0,3,2,5,2,Tamil Nadu,16/08/2020,0,1.02449795565529
31.53,3,2,4,0,3,2,5,2,Tamil Nadu,17/08/2020,0,1.01591301768194
31.6,3,2,4,0,3,2,5,2,Tamil Nadu,18/08/2020,0,1.00944764254069
31.27,3,2,4,0,3,2,5,3,Tamil Nadu,19/08/2020,0,1.00238924881416
32.2,3,2,4,0,3,2,5,3,Tamil Nadu,20/08/2020,0,0.998150564266607
32.6,3,2,4,0,3,2,5,3,Tamil Nadu,21/08/2020,0,1.00083829165996
32.2,3,2,4,0,3,2,5,3,Tamil Nadu,22/08/2020,0,1.00339031444062
30.07,1,2,4,0,3,2,5,3,Tamil Nadu,23/08/2020,0,1.00638770817601
31.07,3,2,4,0,3,2,5,3,Tamil Nadu,24/08/2020,0,1.00655804583452
30.8,1,2,4,0,3,2,5,3,Tamil Nadu,25/08/2020,0,1.00738464114712
32.67,3,2,4,0,3,2,5,3,Tamil Nadu,26/08/2020,0,1.0118907754609898
31.67,3,2,4,0,3,2,5,3,Tamil Nadu,27/08/2020,0,1.01425637932607
32.47,3,2,4,0,3,2,5,3,Tamil Nadu,28/08/2020,0,1.01199454720049
32.67,3,2,4,0,3,2,5,3,Tamil Nadu,29/08/2020,0,1.00931720231058
32.47,3,2,4,0,3,2,5,3,Tamil Nadu,30/08/2020,0,1.01559698413622
32.0,3,2,4,0,3,2,5,3,Tamil Nadu,31/08/2020,0,1.02572477175762
30.73,3,2,4,0,3,2,5,3,Tamil Nadu,01/09/2020,0,1.02253009552828
31.33,3,2,4,0,3,2,5,3,Tamil Nadu,02/09/2020,0,1.01760951740098
32.2,3,2,4,0,3,2,5,3,Tamil Nadu,03/09/2020,0,1.0134977787002
31.53,3,2,4,0,3,2,5,3,Tamil Nadu,04/09/2020,0,1.00721189696493
31.13,3,2,4,0,3,2,5,3,Tamil Nadu,05/09/2020,0,1.0036105509678
31.87,3,2,4,0,3,2,5,3,Tamil Nadu,06/09/2020,0,0.9902935025442328
31.93,3,2,4,0,3,2,5,3,Tamil Nadu,07/09/2020,0,0.9727319307745208
32.53,3,2,4,0,3,2,5,3,Tamil Nadu,08/09/2020,0,0.969638050939812
31.8,3,2,4,0,3,2,5,3,Tamil Nadu,09/09/2020,0,0.967872470287575
30.13,3,2,4,0,3,2,5,3,Tamil Nadu,10/09/2020,0,0.964136024369625
31.47,3,2,4,0,3,2,5,3,Tamil Nadu,11/09/2020,0,0.962049767752201
29.93,3,2,4,0,3,3,5,3,Tamil Nadu,12/09/2020,0,0.9581401314654632
27.2,1,2,4,0,3,3,5,3,Tamil Nadu,13/09/2020,0,0.956623833953832
28.87,1,2,5,0,3,3,5,3,Tamil Nadu,14/09/2020,0,0.9626198047527492
28.73,1,2,5,0,3,3,5,3,Tamil Nadu,15/09/2020,0,0.970668578284115
30.33,3,2,5,0,3,3,5,3,Tamil Nadu,16/09/2020,0,0.979138980682403
30.27,3,2,5,0,3,3,5,3,Tamil Nadu,17/09/2020,0,0.987609731127047
31.4,3,2,5,0,3,3,5,3,Tamil Nadu,18/09/2020,0,0.993430847907226
27.73,1,3,5,0,3,3,5,3,Tamil Nadu,19/09/2020,0,0.995890312795886
28.67,3,3,5,0,3,3,5,3,Tamil Nadu,20/09/2020,0,0.999590867808902
29.6,3,3,5,0,3,3,5,3,Tamil Nadu,21/09/2020,0,0.99606072102069
32.07,3,3,5,0,3,3,5,3,Tamil Nadu,22/09/2020,0,0.986112578051638
32.33,2,3,5,0,3,3,5,3,Tamil Nadu,23/09/2020,0,0.9776189349613772
33.07,2,3,5,0,3,3,5,3,Tamil Nadu,24/09/2020,0,0.971329354798989
31.4,3,3,5,0,3,3,5,3,Tamil Nadu,25/09/2020,0,0.97855203489441
30.4,3,3,5,0,3,3,5,3,Tamil Nadu,26/09/2020,0,0.988711415854999
30.67,3,3,5,0,3,3,5,3,Tamil Nadu,27/09/2020,0,0.995737059642011
32.93,2,3,5,0,3,3,5,3,Tamil Nadu,28/09/2020,0,1.00619665651267
31.0,3,3,5,0,3,3,5,3,Tamil Nadu,29/09/2020,0,1.01398537342904
29.6,3,3,5,0,3,3,5,3,Tamil Nadu,30/09/2020,0,1.0188660461410102
29.8,3,3,5,0,3,3,5,3,Tamil Nadu,01/10/2020,0,1.0251626499601998
33.33,3,3,5,0,4,3,5,3,Tamil Nadu,02/10/2020,0,1.0213429291521998
31.33,3,3,5,0,4,3,5,3,Tamil Nadu,03/10/2020,0,1.0144536625643
31.53,3,3,5,0,4,3,5,3,Tamil Nadu,04/10/2020,0,1.00911354084551
33.13,3,3,5,0,4,3,5,3,Tamil Nadu,05/10/2020,0,0.997790959307216
34.0,2,3,5,0,4,3,5,3,Tamil Nadu,06/10/2020,0,0.9906477708065772
32.87,3,3,5,0,4,3,5,3,Tamil Nadu,07/10/2020,0,0.976817287886732
32.73,3,3,5,0,4,3,5,4,Tamil Nadu,08/10/2020,0,0.9729125465904308
30.33,1,3,5,0,4,3,5,4,Tamil Nadu,09/10/2020,0,0.9612306513675848
30.13,3,3,5,0,4,3,5,4,Tamil Nadu,10/10/2020,0,0.956019425778755
30.07,3,3,5,0,4,3,5,4,Tamil Nadu,11/10/2020,0,0.9532075199435428
30.93,3,3,5,0,4,3,5,4,Tamil Nadu,12/10/2020,0,0.949316320081018
31.13,3,3,5,0,4,3,4,4,Tamil Nadu,13/10/2020,0,0.94506482077013
31.8,2,3,5,0,4,3,4,4,Tamil Nadu,14/10/2020,0,0.945732931152125
32.73,2,3,5,0,4,3,4,4,Tamil Nadu,15/10/2020,0,0.9299479794827809
32.67,3,3,5,0,4,3,4,4,Tamil Nadu,16/10/2020,0,0.922588456112553
29.53,1,3,5,0,4,3,4,4,Tamil Nadu,17/10/2020,0,0.913291867364802
25.87,1,3,5,0,4,3,4,4,Tamil Nadu,18/10/2020,0,0.901344288600472
30.73,3,3,5,0,4,3,4,4,Tamil Nadu,19/10/2020,0,0.886265960861775
27.87,1,3,5,0,4,3,4,4,Tamil Nadu,20/10/2020,0,0.865405730605751
29.33,1,3,5,0,4,3,4,4,Tamil Nadu,21/10/2020,0,0.8391095910836729
30.87,3,3,5,0,4,3,4,4,Tamil Nadu,22/10/2020,0,0.820513578113939
30.33,3,3,5,0,4,3,4,4,Tamil Nadu,23/10/2020,0,0.8058361955294601
30.87,3,3,5,0,4,3,4,4,Tamil Nadu,24/10/2020,0,0.793321320123284
31.13,3,3,5,0,4,3,4,4,Tamil Nadu,25/10/2020,0,0.7791819540291891
30.93,3,3,5,0,4,3,4,4,Tamil Nadu,26/10/2020,0,0.778025821067602
29.67,3,3,5,0,4,3,4,4,Tamil Nadu,27/10/2020,0,0.785631014816548
28.2,3,3,5,0,4,3,4,4,Tamil Nadu,28/10/2020,0,0.803491388007917
24.87,1,4,5,0,4,3,4,4,Tamil Nadu,29/10/2020,0,0.820546351654886
30.67,3,4,5,0,4,3,4,4,Tamil Nadu,30/10/2020,0,0.8409810327808951
30.93,3,4,5,0,4,3,4,4,Tamil Nadu,31/10/2020,0,0.856692924866827
30.73,3,4,5,0,4,3,4,4,Tamil Nadu,01/11/2020,0,0.871624032108799
30.93,3,4,5,0,4,3,4,4,Tamil Nadu,02/11/2020,0,0.8831365066135591
30.93,3,4,5,0,4,3,3,4,Tamil Nadu,03/11/2020,0,0.89813063504205
28.33,1,4,5,0,4,3,3,4,Tamil Nadu,04/11/2020,0,0.917670634307538
30.33,3,4,5,0,4,3,3,4,Tamil Nadu,05/11/2020,0,0.9377156595164872
29.8,1,4,5,0,4,3,3,4,Tamil Nadu,06/11/2020,0,0.9396048934919472
27.8,1,4,5,0,4,3,3,4,Tamil Nadu,07/11/2020,0,0.9410045600360568
29.4,1,4,5,0,4,3,3,4,Tamil Nadu,08/11/2020,0,0.943901929845038
29.67,3,4,5,0,4,3,3,4,Tamil Nadu,09/11/2020,0,0.946125460063778
